sector,gamma,bpw_per_firm,firms,type_median
C12,0.00237175624436613,961209,76,Low
C29,0.00527948375461248,458214,2140,Low
C14,0.00531852873265044,31867,951,Low
C30,0.0056053896126107,172904,1188,Low
C33,0.00683122633332952,21443,3248,Low
C27,0.0079282434671651,58985,3999,Low
C26,0.00830528699090234,47951,3524,Low
C28,0.00847149546855916,49253,11024,Low
C19,0.00861407812479618,1858746,214,Low
C32,0.00948855973975247,19668,3162,Low
C21,0.0103194674949334,193433,1147,Low
C15,0.0105126592891413,24556,469,Low
C31,0.0121960662121652,20462,3819,Low
C10,0.0202044646043727,32340,10284,High
B06,0.0208679953646999,653425,16,High
C25,0.0210081938518831,15859,14851,High
C11,0.0237518614482901,44874,1902,High
C22,0.0240840180611836,29271,5876,High
C18,0.0256481109612577,12068,2459,High
C16,0.0278772772591765,19726,2051,High
C13,0.0280924129155921,17934,2680,High
C20,0.0316014935961819,128922,2621,High
C17,0.0461497871160702,54264,3099,High
C24,0.048903566932148,109735,3722,High
C23,0.0547900861242674,28054,3164,High
B05,0.0679314945108885,297936,25,High
B08,0.0824667738903167,13732,1616,High
