t,"Pe,t real"
Jan-17,1.010111477
Feb-17,1.002287368
Mar-17,0.983115754
Apr-17,0.970152318
May-17,0.956767347
Jun-17,0.961783892
Jul-17,0.965185967
Aug-17,0.955615983
Sep-17,0.968693541
Oct-17,0.974727585
Nov-17,0.984046388
Dec-17,0.991360216
Jan-18,0.984726303
Feb-18,0.977119502
Mar-18,0.977172798
Apr-18,0.99414698
May-18,1.008514865
Jun-18,1.024314311
Jul-18,1.044770349
Aug-18,1.05482338
Sep-18,1.080571767
Oct-18,1.106029974
Nov-18,1.110118544
Dec-18,1.100081944
Jan-19,1.078119524
Feb-19,1.058938956
Mar-19,1.025610117
Apr-19,1.011160503
May-19,0.994835804
Jun-19,0.962657918
Jul-19,0.967077924
Aug-19,0.939965992
Sep-19,0.947373447
Oct-19,0.945397481
Nov-19,0.937477566
Dec-19,0.940606242
Jan-20,0.922998243
Feb-20,0.887443018
Mar-20,0.850633067
Apr-20,0.826755099
May-20,0.809550238
Jun-20,0.808893098
Jul-20,0.816212407
Aug-20,0.806080428
Sep-20,0.838858666
Oct-20,0.857232654
Nov-20,0.880173325
Dec-20,0.915567339
Jan-21,0.979128197
Feb-21,0.990706713
Mar-21,0.984861962
Apr-21,0.997554594
May-21,1.031645762
Jun-21,1.073431003
Jul-21,1.14134048
Aug-21,1.229466415
Sep-21,1.36326369
Oct-21,1.667834937
Nov-21,1.644976893
Dec-21,1.886385691
Jan-22,1.877877468
Feb-22,1.903417201
Mar-22,2.161706845
Apr-22,2.236281007
May-22,2.205998575
Jun-22,2.211174169
Jul-22,2.610471222
Aug-22,3.165317343
Sep-22,3.171249299
Oct-22,2.867212819
Nov-22,2.333055878
Dec-22,2.328125328
Jan-23,1.994071092
Feb-23,1.846166353
Mar-23,1.750255392
Apr-23,1.70077065
May-23,1.616357287
Jun-23,1.577543517
Jul-23,1.530678071
Aug-23,1.529901771
Sep-23,1.551320506
Oct-23,1.584044476
Nov-23,1.569643671
Dec-23,1.516569817
Jan-24,1.439078821
Feb-24,1.373684761
Mar-24,1.353883059
Apr-24,1.363794791
May-24,1.359975876
Jun-24,1.370779116
Jul-24,1.370631473
Aug-24,1.395767032
Sep-24,1.373729152
Oct-24,1.396307083
Nov-24,1.438659592
Dec-24,1.441596722
Jan-25,1.435372984
Feb-25,1.434287385
Mar-25,1.391776455
Apr-25,1.325532965
May-25,1.298374368
Jun-25,1.306966455
Jul-25,1.30368868
Aug-25,1.285203104
Sep-25,1.285580239
Oct-25,1.274964577
Nov-25,1.283149536
Dec-25,1.267075888
