t,w_t
Jan-17,0.985827895
Feb-17,0.983006993
Mar-17,0.981865564
Apr-17,0.980731587
May-17,0.981734566
Jun-17,0.982168163
Jul-17,0.981536248
Aug-17,0.981968653
Sep-17,0.985237991
Oct-17,0.989568917
Nov-17,0.993899843
Dec-17,0.995745869
Jan-18,0.991162732
Feb-18,0.992996861
Mar-18,0.995620465
Apr-18,0.999301617
May-18,1.00190334
Jun-18,0.999102259
Jul-18,0.997374133
Aug-18,0.995649685
Sep-18,0.997289112
Oct-18,0.998928539
Nov-18,1.000567966
Dec-18,1.001241798
Jan-19,0.999788421
Feb-19,0.999399888
Mar-19,1.005417387
Apr-19,1.008227376
May-19,1.014225791
Jun-19,1.019658188
Jul-19,1.026175338
Aug-19,1.031613483
Sep-19,1.028351861
Oct-19,1.025083321
Nov-19,1.021807841
Dec-19,1.020938933
Jan-20,1.015767765
Feb-20,1.015981296
Mar-20,1.017186714
Apr-20,1.021625123
May-20,1.025003687
Jun-20,1.039974726
Jul-20,1.057187944
Aug-20,1.071052595
Sep-20,1.059436383
Oct-20,1.048955963
Nov-20,1.037375464
Dec-20,1.025497843
Jan-21,1.005187741
Feb-21,0.989395012
Mar-21,0.982625186
Apr-21,0.974969212
May-21,0.96745272
Jun-21,0.979763213
Jul-21,0.988904419
Aug-21,1.001755354
Sep-21,0.995352449
Oct-21,0.987073521
Nov-21,0.977944063
Dec-21,0.968658248
Jan-22,0.942410787
Feb-22,0.931041211
Mar-22,0.920484572
Apr-22,0.903153125
May-22,0.902264843
Jun-22,0.89819147
Jul-22,0.890237376
Aug-22,0.883115311
Sep-22,0.89088386
Oct-22,0.897827687
Nov-22,0.90937563
Dec-22,0.910430291
Jan-23,0.899125833
Feb-23,0.896368024
Mar-23,0.894354356
Apr-23,0.893098597
May-23,0.895611187
Jun-23,0.901867221
Jul-23,0.909699601
Aug-23,0.916815934
Sep-23,0.923228206
Oct-23,0.92965144
Nov-23,0.936085663
Dec-23,0.943682398
Jan-24,0.948835325
Feb-24,0.956388883
Mar-24,0.950483198
Apr-24,0.944607516
May-24,0.93876161
Jun-24,0.941030479
Jul-24,0.943295521
Aug-24,0.946354013
Sep-24,0.950863933
Oct-24,0.954575243
Nov-24,0.959095916
Dec-24,0.954931988
Jan-25,0.947566822
Feb-25,0.940251085
Mar-25,0.946258818
Apr-25,0.949863857
May-25,0.957414929
Jun-25,0.958633196
Jul-25,0.962253064
Aug-25,0.965885039
Sep-25,0.964252559
Oct-25,0.963425618
Nov-25,0.962597293
Dec-25,0.960157926
